{'loss': 0.9885, 'learning_rate': 1.974545959989108e-05, 'epoch': 0.3}
{'loss': 1.1139, 'learning_rate': 1.9739461479120727e-05, 'epoch': 0.3}
{'loss': 1.0594, 'learning_rate': 1.973339444003735e-05, 'epoch': 0.31}
{'loss': 1.0575, 'learning_rate': 1.9727258525572487e-05, 'epoch': 0.31}
{'loss': 1.046, 'learning_rate': 1.9721053779145057e-05, 'epoch': 0.31}
{'loss': 1.1343, 'learning_rate': 1.9714780244661044e-05, 'epoch': 0.31}
{'loss': 1.1187, 'learning_rate': 1.9708437966513196e-05, 'epoch': 0.31}
{'loss': 1.0898, 'learning_rate': 1.9702026989580694e-05, 'epoch': 0.32}
{'loss': 1.0004, 'learning_rate': 1.969554735922885e-05, 'epoch': 0.32}
{'loss': 1.0787, 'learning_rate': 1.968899912130879e-05, 'epoch': 0.32}
{'loss': 1.117, 'learning_rate': 1.9682382322157103e-05, 'epoch': 0.32}
{'loss': 0.9757, 'learning_rate': 1.9675697008595545e-05, 'epoch': 0.33}
{'loss': 1.0709, 'learning_rate': 1.9668943227930686e-05, 'epoch': 0.33}
{'loss': 1.046, 'learning_rate': 1.966212102795358e-05, 'epoch': 0.33}
{'loss': 1.0318, 'learning_rate': 1.965523045693944e-05, 'epoch': 0.33}
{'loss': 1.1058, 'learning_rate': 1.964827156364728e-05, 'epoch': 0.34}
{'loss': 1.066, 'learning_rate': 1.964124439731957e-05, 'epoch': 0.34}
{'loss': 1.1594, 'learning_rate': 1.9634149007681894e-05, 'epoch': 0.34}
{'loss': 1.0201, 'learning_rate': 1.962698544494261e-05, 'epoch': 0.34}
{'loss': 1.0399, 'learning_rate': 1.9619753759792466e-05, 'epoch': 0.35}
{'loss': 1.0526, 'learning_rate': 1.961245400340427e-05, 'epoch': 0.35}
{'loss': 1.0336, 'learning_rate': 1.9605086227432512e-05, 'epoch': 0.35}
{'loss': 1.0894, 'learning_rate': 1.9597650484012997e-05, 'epoch': 0.35}
{'loss': 1.0365, 'learning_rate': 1.9590146825762476e-05, 'epoch': 0.36}
